,dim,algo,param,jsd,iteration
0,4,hope,katz,0.008685955,0
6,4,n2v,1 1,0.008601266,0
7,4,n2v,1 1,0.008601266,1
8,4,n2v,1 1,0.008601266,2
9,4,n2v,1 1,0.008601266,3
10,4,n2v,1 1,0.008601266,4
11,4,n2v,1 1,0.008601266,5
12,4,n2v,1 1,0.008601266,6
13,4,n2v,1 1,0.008601266,7
14,4,n2v,1 1,0.008601266,8
15,4,n2v,1 1,0.008601266,9
16,4,n2v,1 1,0.008601266,10
17,4,n2v,1 1,0.008601266,11
18,4,n2v,1 1,0.008601266,12
19,4,n2v,1 1,0.008601266,13
20,4,n2v,1 1,0.008601266,14
21,4,n2v,1 1,0.008601266,15
22,4,n2v,1 1,0.008601266,16
23,4,n2v,1 1,0.008601266,17
24,4,n2v,1 1,0.008601266,18
25,4,n2v,1 1,0.008601266,19
26,4,n2v,1 1,0.008601266,20
27,4,n2v,1 1,0.008601266,21
28,4,n2v,1 1,0.008601266,22
29,4,n2v,1 1,0.008601266,23
30,4,n2v,1 1,0.008601266,24
31,4,n2v,1 1,0.008601266,25
32,4,n2v,1 1,0.008601266,26
33,4,n2v,1 1,0.008601266,27
34,4,n2v,1 1,0.008601266,28
35,4,n2v,1 1,0.008601266,29
1,8,hope,katz,0.00805227,0
36,8,n2v,1 1,0.008601266,0
37,8,n2v,1 1,0.008601266,1
38,8,n2v,1 1,0.008601266,2
39,8,n2v,1 1,0.008601266,3
40,8,n2v,1 1,0.008601266,4
41,8,n2v,1 1,0.008601266,5
42,8,n2v,1 1,0.008601266,6
43,8,n2v,1 1,0.008601266,7
44,8,n2v,1 1,0.008601266,8
45,8,n2v,1 1,0.008601266,9
46,8,n2v,1 1,0.008601266,10
47,8,n2v,1 1,0.008601266,11
48,8,n2v,1 1,0.008601266,12
49,8,n2v,1 1,0.008601266,13
50,8,n2v,1 1,0.008601266,14
51,8,n2v,1 1,0.008601266,15
52,8,n2v,1 1,0.008601266,16
53,8,n2v,1 1,0.008601266,17
54,8,n2v,1 1,0.008601266,18
55,8,n2v,1 1,0.008601266,19
56,8,n2v,1 1,0.008601266,20
57,8,n2v,1 1,0.008601266,21
58,8,n2v,1 1,0.008601266,22
59,8,n2v,1 1,0.008601266,23
60,8,n2v,1 1,0.008601266,24
61,8,n2v,1 1,0.008601266,25
62,8,n2v,1 1,0.008601266,26
63,8,n2v,1 1,0.008601266,27
64,8,n2v,1 1,0.008601266,28
65,8,n2v,1 1,0.008601266,29
2,16,hope,katz,0.007840846,0
66,16,n2v,1 1,0.008601266,0
67,16,n2v,1 1,0.008601266,1
68,16,n2v,1 1,0.008601266,2
69,16,n2v,1 1,0.008601266,3
70,16,n2v,1 1,0.008601266,4
71,16,n2v,1 1,0.008601266,5
72,16,n2v,1 1,0.008601266,6
73,16,n2v,1 1,0.008601266,7
74,16,n2v,1 1,0.008601266,8
75,16,n2v,1 1,0.008601266,9
76,16,n2v,1 1,0.008601266,10
77,16,n2v,1 1,0.008601266,11
78,16,n2v,1 1,0.008601266,12
79,16,n2v,1 1,0.008601266,13
80,16,n2v,1 1,0.008601266,14
81,16,n2v,1 1,0.008601266,15
82,16,n2v,1 1,0.008601266,16
83,16,n2v,1 1,0.008601266,17
84,16,n2v,1 1,0.008601266,18
85,16,n2v,1 1,0.008601266,19
86,16,n2v,1 1,0.008601266,20
87,16,n2v,1 1,0.008601266,21
88,16,n2v,1 1,0.008601266,22
89,16,n2v,1 1,0.008601266,23
90,16,n2v,1 1,0.008601266,24
91,16,n2v,1 1,0.008601266,25
92,16,n2v,1 1,0.008601266,26
93,16,n2v,1 1,0.008601266,27
94,16,n2v,1 1,0.008601266,28
95,16,n2v,1 1,0.008601266,29
3,32,hope,katz,0.007797652,0
96,32,n2v,1 1,0.008601266,0
97,32,n2v,1 1,0.008601266,1
98,32,n2v,1 1,0.008601266,2
99,32,n2v,1 1,0.008601266,3
100,32,n2v,1 1,0.008601266,4
101,32,n2v,1 1,0.008601266,5
102,32,n2v,1 1,0.008601266,6
103,32,n2v,1 1,0.008601266,7
104,32,n2v,1 1,0.008601266,8
105,32,n2v,1 1,0.008601266,9
